id,order_id,user_id,product_id,inventory_item_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
1,1,1,196,1,Cancelled,2023-10-05 08:41:06,,,,146.06
2,1,1,244,2,Complete,2023-10-05 08:41:06,,,,57.59
3,1,1,22,3,Complete,2023-10-05 08:41:06,,,,55.76
4,2,1,114,4,Complete,2024-04-15 14:56:57,,,,92.52
5,2,1,420,5,Complete,2024-04-15 14:56:57,,,,137.49
6,2,1,332,6,Returned,2024-04-15 14:56:57,,,,26.94
7,3,1,404,7,Processing,2023-10-17 16:48:57,,,,92.66
8,3,1,228,8,Processing,2023-10-17 16:48:57,,,,209.37
9,4,1,327,9,Returned,2023-02-12 09:56:01,,,,45.96
10,5,1,31,10,Processing,2023-10-10 14:38:03,,,,72.18
11,5,1,498,11,Cancelled,2023-10-10 14:38:03,,,,28.92
12,5,1,52,12,Shipped,2023-10-10 14:38:03,,,,10.72
13,5,1,275,13,Complete,2023-10-10 14:38:03,,,,156.61
14,6,2,110,14,Complete,2023-10-05 11:26:52,,,,27.65
15,6,2,471,15,Complete,2023-10-05 11:26:52,,,,13.65
16,7,2,153,16,Complete,2023-05-20 00:09:15,,,,18.94
17,7,2,133,17,Complete,2023-05-20 00:09:15,,,,26.6
18,8,2,133,18,Shipped,2024-01-13 05:06:47,,,,26.6
19,8,2,264,19,Returned,2024-01-13 05:06:47,,,,42.95
20,8,2,426,20,Shipped,2024-01-13 05:06:47,,,,26.79
21,9,5,284,21,Complete,2023-12-10 20:26:22,,,,33.15
22,10,5,456,22,Processing,2024-06-27 02:35:58,,,,39.16
23,11,5,16,23,Cancelled,2023-12-19 20:36:09,,,,187.22
24,11,5,485,24,Processing,2023-12-19 20:36:09,,,,155.89
25,12,5,484,25,Shipped,2024-01-19 10:52:24,,,,175.4
26,12,5,75,26,Complete,2024-01-19 10:52:24,,,,40.63
27,12,5,330,27,Shipped,2024-01-19 10:52:24,,,,198.74
28,13,6,328,28,Processing,2023-04-25 01:44:20,,,,175.36
29,13,6,341,29,Complete,2023-04-25 01:44:20,,,,140.43
30,13,6,251,30,Shipped,2023-04-25 01:44:20,,,,73.16
31,13,6,21,31,Shipped,2023-04-25 01:44:20,,,,46.69
32,14,6,475,32,Shipped,2024-04-13 19:20:45,,,,138.47
33,14,6,436,33,Complete,2024-04-13 19:20:45,,,,77.52
34,15,7,365,34,Returned,2022-09-15 09:16:21,,,,161.32
35,15,7,125,35,Complete,2022-09-15 09:16:21,,,,132.12
36,15,7,314,36,Complete,2022-09-15 09:16:21,,,,82.23
37,16,7,262,37,Processing,2024-02-07 11:33:45,,,,159.33
38,16,7,49,38,Returned,2024-02-07 11:33:45,,,,127.21
39,17,7,210,39,Processing,2023-01-17 21:40:26,,,,40.57
40,17,7,148,40,Processing,2023-01-17 21:40:26,,,,32.89
41,17,7,322,41,Complete,2023-01-17 21:40:26,,,,19.01
42,18,7,262,42,Processing,2022-07-26 04:32:46,,,,159.33
43,18,7,475,43,Shipped,2022-07-26 04:32:46,,,,138.47
44,19,9,468,44,Shipped,2023-04-28 15:59:15,,,,148.6
45,19,9,364,45,Returned,2023-04-28 15:59:15,,,,134.69
46,19,9,345,46,Returned,2023-04-28 15:59:15,,,,186.71
47,20,9,50,47,Complete,2023-11-03 03:14:21,,,,136.87
48,21,9,470,48,Returned,2024-04-03 08:50:07,,,,141.94
49,21,9,421,49,Processing,2024-04-03 08:50:07,,,,58.5
50,21,9,306,50,Shipped,2024-04-03 08:50:07,,,,248.96
51,21,9,164,51,Cancelled,2024-04-03 08:50:07,,,,44.18
52,22,9,469,52,Shipped,2024-01-10 09:38:09,,,,44.63
53,22,9,191,53,Shipped,2024-01-10 09:38:09,,,,69.33
54,22,9,157,54,Processing,2024-01-10 09:38:09,,,,167.4
55,23,9,459,55,Processing,2022-11-23 10:08:47,,,,237.92
56,23,9,428,56,Complete,2022-11-23 10:08:47,,,,20.31
57,23,9,494,57,Shipped,2022-11-23 10:08:47,,,,197.16
58,24,9,184,58,Cancelled,2024-03-16 11:42:05,,,,192.59
59,25,10,25,59,Complete,2023-04-20 17:15:09,,,,73.75
60,25,10,216,60,Shipped,2023-04-20 17:15:09,,,,92.83
61,25,10,120,61,Shipped,2023-04-20 17:15:09,,,,127.06
62,25,10,140,62,Complete,2023-04-20 17:15:09,,,,83.49
63,26,10,74,63,Shipped,2023-05-12 19:45:34,,,,61.24
64,27,10,287,64,Complete,2023-06-20 15:52:00,,,,239.67
65,27,10,301,65,Cancelled,2023-06-20 15:52:00,,,,9.51
66,28,10,326,66,Complete,2023-05-24 17:59:46,,,,138.39
67,28,10,144,67,Complete,2023-05-24 17:59:46,,,,199.36
68,29,10,435,68,Complete,2024-02-12 17:51:24,,,,53.55
69,29,10,138,69,Complete,2024-02-12 17:51:24,,,,113.86
70,30,10,449,70,Cancelled,2024-04-30 17:59:12,,,,23.43
71,30,10,273,71,Complete,2024-04-30 17:59:12,,,,180.32
72,31,11,90,72,Complete,2023-09-15 20:35:00,,,,108.05
73,31,11,263,73,Complete,2023-09-15 20:35:00,,,,66.94
74,32,11,364,74,Complete,2023-06-26 21:25:21,,,,134.69
75,32,11,57,75,Processing,2023-06-26 21:25:21,,,,124.5
76,32,11,176,76,Complete,2023-06-26 21:25:21,,,,126.89
77,33,12,174,77,Complete,2024-05-05 02:59:05,,,,150.04
78,34,12,428,78,Shipped,2023-08-31 16:31:19,,,,20.31
79,35,12,85,79,Complete,2023-11-15 01:23:08,,,,85.76
80,36,12,110,80,Complete,2023-03-13 12:48:58,,,,27.65
81,36,12,74,81,Shipped,2023-03-13 12:48:58,,,,61.24
82,37,12,477,82,Complete,2023-10-14 07:12:20,,,,57.08
83,37,12,43,83,Complete,2023-10-14 07:12:20,,,,146.93
84,37,12,276,84,Returned,2023-10-14 07:12:20,,,,99.26
85,38,12,144,85,Complete,2023-05-13 00:19:55,,,,199.36
