order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item
1,1,Complete,M,2023-10-05 08:41:06,,,,3
2,1,Complete,M,2024-04-15 14:56:57,,,,3
3,1,Complete,M,2023-10-17 16:48:57,,,,2
4,1,Complete,M,2023-02-12 09:56:01,,,,1
5,1,Shipped,M,2023-10-10 14:38:03,,,,4
6,2,Complete,M,2023-10-05 11:26:52,,,,2
7,2,Shipped,M,2023-05-20 00:09:15,,,,2
8,2,Shipped,M,2024-01-13 05:06:47,,,,3
9,5,Processing,F,2023-12-10 20:26:22,,,,1
10,5,Complete,F,2024-06-27 02:35:58,,,,1
11,5,Complete,F,2023-12-19 20:36:09,,,,2
12,5,Returned,F,2024-01-19 10:52:24,,,,3
13,6,Complete,F,2023-04-25 01:44:20,,,,4
14,6,Complete,F,2024-04-13 19:20:45,,,,2
15,7,Returned,M,2022-09-15 09:16:21,,,,3
16,7,Processing,M,2024-02-07 11:33:45,,,,2
17,7,Shipped,M,2023-01-17 21:40:26,,,,3
18,7,Complete,M,2022-07-26 04:32:46,,,,2
19,9,Shipped,M,2023-04-28 15:59:15,,,,3
20,9,Shipped,M,2023-11-03 03:14:21,,,,1
21,9,Complete,M,2024-04-03 08:50:07,,,,4
22,9,Returned,M,2024-01-10 09:38:09,,,,3
23,9,Complete,M,2022-11-23 10:08:47,,,,3
24,9,Processing,M,2024-03-16 11:42:05,,,,1
25,10,Complete,M,2023-04-20 17:15:09,,,,4
26,10,Complete,M,2023-05-12 19:45:34,,,,1
27,10,Complete,M,2023-06-20 15:52:00,,,,2
28,10,Complete,M,2023-05-24 17:59:46,,,,2
29,10,Shipped,M,2024-02-12 17:51:24,,,,2
30,10,Complete,M,2024-04-30 17:59:12,,,,2
31,11,Returned,F,2023-09-15 20:35:00,,,,2
32,11,Complete,F,2023-06-26 21:25:21,,,,3
33,12,Complete,F,2024-05-05 02:59:05,,,,1
34,12,Complete,F,2023-08-31 16:31:19,,,,1
35,12,Complete,F,2023-11-15 01:23:08,,,,1
36,12,Returned,F,2023-03-13 12:48:58,,,,2
37,12,Complete,F,2023-10-14 07:12:20,,,,3
38,12,Complete,F,2023-05-13 00:19:55,,,,4
39,13,Complete,M,2024-06-04 07:29:40,,,,2
40,14,Complete,F,2022-04-18 14:33:18,,,,3
41,15,Complete,M,2024-05-13 10:34:14,,,,4
42,15,Complete,M,2022-07-10 03:41:07,,,,2
43,16,Complete,F,2023-04-08 20:21:20,,,,2
44,16,Shipped,F,2024-06-23 16:45:17,,,,2
45,16,Shipped,F,2024-04-15 09:11:18,,,,1
46,16,Processing,F,2023-04-19 18:59:34,,,,2
47,16,Complete,F,2023-08-24 00:42:55,,,,3
48,17,Complete,M,2024-05-15 03:49:20,,,,3
49,17,Processing,M,2023-09-14 05:33:13,,,,3
50,17,Returned,M,2024-02-03 10:11:46,,,,4
51,17,Processing,M,2024-01-15 04:10:00,,,,1
52,17,Processing,M,2023-11-05 08:11:06,,,,2
53,18,Complete,F,2024-06-23 10:49:31,,,,4
54,18,Complete,F,2023-04-18 15:16:10,,,,1
55,18,Cancelled,F,2023-08-02 00:35:58,,,,1
56,18,Complete,F,2023-07-28 02:31:08,,,,1
57,18,Complete,F,2023-09-26 07:21:55,,,,1
58,18,Shipped,F,2022-08-25 08:19:21,,,,4
59,18,Complete,F,2023-02-13 07:56:10,,,,2
60,19,Complete,M,2022-06-08 07:48:09,,,,2
61,19,Complete,M,2023-09-11 04:18:04,,,,4
62,20,Processing,F,2023-07-01 07:37:25,,,,3
63,20,Complete,F,2023-01-18 23:58:42,,,,1
64,20,Complete,F,2023-10-22 15:04:03,,,,4
65,21,Complete,F,2024-04-26 04:21:35,,,,4
66,21,Cancelled,F,2023-06-14 02:34:49,,,,1
67,21,Complete,F,2024-05-09 15:11:31,,,,4
68,22,Returned,F,2023-08-24 11:38:48,,,,2
69,22,Returned,F,2023-02-19 21:23:46,,,,4
70,23,Shipped,F,2024-02-07 11:28:40,,,,3
71,23,Complete,F,2023-04-09 18:47:33,,,,1
72,23,Shipped,F,2023-01-10 20:21:16,,,,4
73,23,Cancelled,F,2024-06-11 10:05:54,,,,1
74,23,Processing,F,2023-12-19 18:26:45,,,,4
75,23,Processing,F,2023-06-22 17:23:44,,,,3
76,23,Returned,F,2024-05-30 10:33:43,,,,3
77,25,Returned,M,2024-06-11 18:15:10,,,,3
78,25,Processing,M,2023-08-13 02:18:55,,,,3
79,25,Shipped,M,2022-09-16 02:23:38,,,,3
80,25,Shipped,M,2022-12-02 08:28:28,,,,4
81,26,Processing,F,2024-03-26 08:29:52,,,,4
82,26,Complete,F,2024-05-15 00:53:13,,,,4
83,26,Shipped,F,2022-05-14 00:55:01,,,,3
84,26,Returned,F,2023-01-09 02:12:32,,,,2
85,26,Returned,F,2023-10-11 19:20:42,,,,1
86,26,Shipped,F,2024-06-15 03:55:56,,,,4
87,27,Complete,F,2024-03-23 20:59:17,,,,2
88,27,Cancelled,F,2023-05-31 11:49:24,,,,1
89,27,Returned,F,2024-02-02 04:10:43,,,,1
90,27,Complete,F,2023-05-29 21:02:52,,,,1
91,28,Complete,F,2022-09-06 19:49:58,,,,4
92,28,Complete,F,2024-01-04 12:28:56,,,,1
93,28,Complete,F,2023-01-18 12:24:09,,,,1
94,29,Complete,M,2024-03-04 09:55:03,,,,3
95,29,Shipped,M,2024-03-13 20:36:41,,,,2
96,29,Complete,M,2022-03-10 02:18:38,,,,1
97,29,Complete,M,2023-05-12 09:05:27,,,,4
98,29,Cancelled,M,2022-03-02 13:04:43,,,,2
99,29,Shipped,M,2024-04-01 14:22:41,,,,2
100,30,Complete,M,2024-01-24 07:56:22,,,,4
101,30,Complete,M,2023-08-04 15:26:01,,,,2
102,30,Returned,M,2023-03-22 14:03:41,,,,3
103,30,Complete,M,2024-05-30 12:49:07,,,,3
104,30,Complete,M,2023-09-08 23:37:26,,,,2
105,30,Shipped,M,2024-03-09 03:15:28,,,,3
106,31,Complete,F,2024-06-05 12:33:16,,,,2
107,31,Complete,F,2024-01-30 10:01:03,,,,4
108,31,Complete,F,2023-12-23 23:52:29,,,,2
109,31,Cancelled,F,2024-03-01 20:38:47,,,,1
110,33,Shipped,F,2023-01-30 06:24:44,,,,1
111,33,Returned,F,2023-12-30 15:40:03,,,,2
112,33,Complete,F,2024-06-03 01:46:26,,,,1
113,33,Complete,F,2023-02-11 00:46:16,,,,3
114,33,Complete,F,2024-02-05 03:14:16,,,,1
115,33,Cancelled,F,2022-12-20 23:19:52,,,,1
116,33,Complete,F,2023-02-11 12:01:32,,,,2
117,35,Cancelled,F,2024-05-22 23:59:00,,,,4
118,35,Processing,F,2024-03-23 11:30:49,,,,1
119,35,Complete,F,2024-01-21 13:32:00,,,,4
120,35,Shipped,F,2024-04-27 20:39:32,,,,4
121,35,Returned,F,2024-06-08 13:19:37,,,,3
122,36,Complete,M,2024-05-28 10:27:45,,,,2
123,38,Processing,M,2023-03-24 03:08:54,,,,3
124,38,Complete,M,2024-06-05 08:41:43,,,,1
125,38,Complete,M,2023-05-21 07:58:24,,,,1
126,38,Complete,M,2023-07-03 05:08:59,,,,4
127,38,Shipped,M,2024-03-05 16:41:24,,,,3
128,38,Complete,M,2024-03-30 07:00:42,,,,2
129,38,Shipped,M,2024-05-23 17:02:59,,,,4
130,39,Processing,M,2024-06-04 10:43:13,,,,3
131,39,Cancelled,M,2023-08-31 05:13:41,,,,2
132,39,Complete,M,2022-11-30 03:17:20,,,,3
133,39,Complete,M,2023-09-02 16:58:12,,,,2
134,39,Complete,M,2024-01-18 08:59:15,,,,2
135,39,Processing,M,2024-03-13 12:10:55,,,,4
136,40,Processing,F,2024-02-12 02:34:34,,,,2
137,41,Cancelled,M,2023-09-04 23:20:33,,,,4
138,41,Processing,M,2022-07-24 21:11:33,,,,1
139,41,Shipped,M,2023-04-25 04:42:41,,,,1
140,43,Complete,M,2024-02-13 19:20:28,,,,1
141,43,Processing,M,2023-06-24 23:17:48,,,,3
142,43,Shipped,M,2024-04-26 06:33:25,,,,1
143,43,Shipped,M,2023-07-19 17:25:04,,,,2
144,44,Shipped,M,2023-09-01 05:02:07,,,,1
145,44,Shipped,M,2023-08-06 08:29:47,,,,4
146,44,Returned,M,2023-04-24 18:29:42,,,,3
147,45,Complete,F,2024-01-08 01:32:06,,,,2
148,45,Returned,F,2023-07-16 03:40:06,,,,3
149,45,Shipped,F,2023-11-16 07:03:33,,,,2
150,46,Complete,M,2023-12-08 04:28:37,,,,4
151,47,Complete,M,2024-05-11 17:07:29,,,,2
152,47,Cancelled,M,2024-01-07 21:35:43,,,,4
153,47,Shipped,M,2024-05-21 17:43:53,,,,4
154,48,Complete,F,2024-04-03 12:22:27,,,,2
155,48,Complete,F,2023-11-29 14:42:53,,,,4
156,48,Complete,F,2024-06-02 20:52:41,,,,4
157,49,Complete,F,2024-04-30 16:08:44,,,,1
158,49,Complete,F,2024-04-18 10:49:40,,,,3
159,49,Shipped,F,2024-02-28 18:59:30,,,,2
160,49,Cancelled,F,2024-06-16 15:12:12,,,,3
161,49,Shipped,F,2024-06-08 07:11:36,,,,3
162,50,Shipped,F,2022-12-11 13:39:45,,,,3
163,50,Returned,F,2023-02-17 16:19:56,,,,4
164,51,Complete,F,2023-04-05 22:47:29,,,,1
165,53,Shipped,M,2023-07-29 23:39:07,,,,2
166,53,Complete,M,2023-04-23 02:48:04,,,,2
167,53,Complete,M,2024-05-03 15:15:11,,,,1
168,54,Returned,F,2023-08-23 03:14:08,,,,1
169,54,Shipped,F,2023-08-05 10:07:43,,,,4
170,54,Processing,F,2023-11-03 03:33:51,,,,1
171,54,Complete,F,2023-06-03 17:02:15,,,,3
172,54,Complete,F,2024-04-12 12:26:37,,,,3
173,54,Complete,F,2023-10-06 20:43:28,,,,3
174,54,Complete,F,2024-05-13 21:57:10,,,,4
175,55,Shipped,F,2024-05-25 06:59:01,,,,3
176,55,Cancelled,F,2024-02-27 01:34:11,,,,4
177,55,Returned,F,2024-03-12 08:47:05,,,,1
178,56,Processing,F,2023-12-02 11:58:52,,,,4
179,57,Complete,M,2024-06-13 09:13:23,,,,1
180,57,Processing,M,2023-12-17 18:15:52,,,,3
181,57,Processing,M,2024-04-18 09:21:07,,,,2
182,57,Processing,M,2023-09-23 17:57:30,,,,1
183,57,Cancelled,M,2024-05-09 00:07:01,,,,2
184,58,Shipped,F,2023-03-23 08:00:24,,,,2
185,58,Complete,F,2023-12-17 08:56:26,,,,1
186,58,Returned,F,2023-03-23 09:28:04,,,,3
187,58,Complete,F,2023-09-11 21:54:12,,,,1
188,58,Processing,F,2023-09-16 05:38:01,,,,2
189,59,Complete,F,2023-12-24 19:44:14,,,,1
190,61,Complete,F,2023-07-14 12:09:45,,,,4
191,61,Processing,F,2023-11-29 01:06:07,,,,1
192,61,Shipped,F,2023-08-27 10:47:24,,,,2
193,61,Shipped,F,2023-05-08 05:23:47,,,,3
194,62,Complete,F,2023-05-12 21:22:24,,,,1
195,62,Cancelled,F,2023-04-27 13:20:46,,,,3
196,62,Complete,F,2024-04-19 04:25:40,,,,4
197,63,Shipped,M,2024-05-26 19:22:41,,,,1
198,63,Processing,M,2023-07-03 12:05:43,,,,2
199,65,Shipped,M,2023-08-28 10:39:06,,,,1
200,65,Complete,M,2023-05-16 18:42:03,,,,2
201,65,Complete,M,2022-09-19 05:21:33,,,,4
202,65,Complete,M,2022-08-31 04:16:27,,,,3
203,66,Complete,M,2023-12-18 16:52:34,,,,4
204,66,Complete,M,2024-06-10 01:35:21,,,,1
205,67,Shipped,M,2024-01-12 17:04:12,,,,3
206,69,Processing,M,2024-01-31 18:45:26,,,,2
207,69,Complete,M,2023-11-18 12:58:08,,,,3
208,71,Complete,M,2024-02-27 15:59:25,,,,3
209,71,Complete,M,2024-06-05 09:30:27,,,,3
210,71,Shipped,M,2024-02-10 18:57:36,,,,4
211,71,Shipped,M,2024-06-26 01:19:23,,,,4
212,72,Complete,F,2024-04-28 08:28:17,,,,4
213,74,Processing,F,2024-03-31 10:15:58,,,,1
214,74,Processing,F,2024-04-25 01:33:44,,,,4
215,74,Cancelled,F,2024-02-19 15:06:14,,,,3
216,75,Complete,F,2023-05-31 22:30:41,,,,3
217,75,Shipped,F,2024-06-17 23:38:36,,,,2
218,75,Cancelled,F,2023-07-26 02:35:22,,,,3
219,75,Complete,F,2023-04-05 08:30:49,,,,1
220,76,Processing,M,2023-11-28 09:07:22,,,,4
221,76,Complete,M,2024-01-25 22:52:56,,,,1
222,76,Complete,M,2024-03-14 16:35:37,,,,2
223,77,Complete,M,2023-12-17 19:49:09,,,,3
224,78,Complete,M,2023-10-02 07:52:52,,,,2
