id,cost,category,name,brand,retail_price,department,sku,distribution_center_id
1,40.1,Outerwear & Coats,Product 1,Wrangler,110.42,Women,SKU00001,3
2,51.55,Sweaters,Product 2,Wrangler,153.01,Women,SKU00002,5
3,57.61,Shorts,Product 3,Wrangler,94.06,Men,SKU00003,9
4,77.89,Outerwear & Coats,Product 4,Carhartt,213.61,Women,SKU00004,8
5,89.46,Swim,Product 5,Hanes,249.15,Men,SKU00005,3
6,7.84,Jeans,Product 6,Levi's,18.75,Men,SKU00006,10
7,8.0,Tops & Tees,Product 7,Levi's,22.93,Women,SKU00007,4
8,57.29,Sweaters,Product 8,Carhartt,135.15,Men,SKU00008,10
9,23.36,Tops & Tees,Product 9,Wrangler,68.68,Men,SKU00009,4
10,18.9,Tops & Tees,Product 10,Adidas,39.7,Men,SKU00010,3
11,73.62,Shorts,Product 11,Wrangler,153.25,Men,SKU00011,2
12,57.16,Shorts,Product 12,Adidas,170.62,Women,SKU00012,6
13,72.47,Shorts,Product 13,Calvin Klein,138.89,Women,SKU00013,10
14,47.37,Accessories,Product 14,Carhartt,121.89,Men,SKU00014,10
15,20.65,Swim,Product 15,Adidas,38.61,Men,SKU00015,5
16,77.08,Outerwear & Coats,Product 16,Nike,187.22,Men,SKU00016,1
17,73.82,Jeans,Product 17,Wrangler,176.43,Men,SKU00017,2
18,14.86,Swim,Product 18,Carhartt,39.43,Men,SKU00018,3
19,79.65,Jeans,Product 19,Columbia,214.43,Women,SKU00019,6
20,82.06,Accessories,Product 20,Nike,240.59,Men,SKU00020,3
21,24.87,Outerwear & Coats,Product 21,Hanes,46.69,Women,SKU00021,8
22,30.57,Sweaters,Product 22,Carhartt,55.76,Men,SKU00022,7
23,19.67,Swim,Product 23,Carhartt,49.12,Men,SKU00023,8
24,33.4,Swim,Product 24,Levi's,80.84,Men,SKU00024,7
25,42.39,Shorts,Product 25,Adidas,73.75,Women,SKU00025,4
26,66.14,Tops & Tees,Product 26,Hanes,184.99,Women,SKU00026,8
27,31.39,Shorts,Product 27,Hanes,61.29,Men,SKU00027,3
28,64.3,Accessories,Product 28,Hanes,113.72,Men,SKU00028,1
29,4.39,Accessories,Product 29,Nike,11.08,Women,SKU00029,6
30,79.21,Sweaters,Product 30,Calvin Klein,147.92,Men,SKU00030,2
31,34.43,Tops & Tees,Product 31,Wrangler,72.18,Women,SKU00031,2
32,27.3,Shorts,Product 32,Nike,47.52,Men,SKU00032,5
33,24.45,Swim,Product 33,Calvin Klein,56.83,Women,SKU00033,8
34,82.89,Outerwear & Coats,Product 34,Nike,162.9,Men,SKU00034,6
35,63.55,Sweaters,Product 35,Nike,115.32,Men,SKU00035,9
